5,1862,7100.0
10,335,1424.0
1,426,2825.0
3,1948,4015.0
5,2272,8563.0
4,766,736.0
5,2364,6178.0
5,956,5302.0
6,1085,3843.0
5,1248,5107.0
2,500,4522.0
8,1641,1732.0
5,1249,4644.0
8,1636,6178.0
2,317,5768.0
0,1666,1455.0
3,641,4686.0
5,968,1298.0
5,1980,4600.0
10,749,4750.0
10,1721,5223.0
8,1776,3691.0
10,536,6057.0
6,1894,3079.0
5,2194,3111.0
5,1675,5690.0
10,1960,3554.0
10,1941,4361.0
5,1238,3433.0
2,1017,5579.0
5,963,6018.0
10,511,3099.0
1,702,1962.0
5,2401,3741.0
8,879,6655.0
10,569,5231.0
10,1963,2154.0
8,1990,4270.0
8,880,3939.0
0,1392,693.0
5,2280,3065.0
4,1398,3274.0
8,886,6659.0
5,1267,6339.0
1,909,2530.0
2,321,4697.0
9,890,1173.0
8,815,3418.0
3,685,1240.0
10,1968,3738.0
5,2276,5829.0
4,1092,4522.0
5,1983,4264.0
8,75,2649.0
3,642,4972.0
5,960,2543.0
5,1848,3470.0
5,957,4732.0
8,887,17772.0
5,2039,4177.0
6,349,2768.0
5,1101,5027.0
5,2367,4028.0
10,2243,5038.0
5,2273,8579.0
5,1235,2838.0
5,922,5689.0
3,448,8320.0
3,672,3960.0
10,588,2828.0
5,2036,1952.0
6,2175,3341.0
5,2041,6448.0
8,71,7396.0
6,1940,3403.0
10,2332,6552.0
10,785,2967.0
5,1250,5395.0
5,921,10647.0
5,1099,2769.0
6,2013,1340.0
5,1981,4986.0
5,1706,6904.0
10,522,2445.0
5,2318,2491.0
4,764,858.0
5,2195,3059.0
10,447,2313.0
5,1861,3658.0
5,2196,5665.0
10,748,4781.0
5,1863,8972.0
5,946,2108.0
10,788,6415.0
8,1730,4349.0
8,1642,4319.0
5,1673,3492.0
3,670,5839.0
5,2431,4247.0
10,445,4073.0
5,2067,4437.0
4,765,1387.0
5,1268,3216.0
5,961,6061.0
10,537,2735.0
10,548,4933.0
5,1806,3558.0
8,1688,5417.0
5,1508,3659.0
2,614,5357.0
10,1722,6186.0
10,2353,3236.0
8,884,7927.0
1,1283,2775.0
10,429,5487.0
10,109,2495.0
5,1857,5239.0
5,2363,4241.0
5,2300,5459.0
8,2357,3491.0
10,896,4185.0
8,1687,2347.0
10,1589,7960.0
4,1540,4082.0
5,948,1231.0
5,147,5601.0
10,298,5070.0
10,1796,3568.0
5,2171,4408.0
10,2233,2422.0
8,816,3313.0
8,814,5036.0
5,2445,6231.0
5,2421,3620.0
10,1931,3667.0
8,629,2865.0
5,2405,7134.0
4,1397,4356.0
10,835,4241.0
5,944,3633.0
9,1075,1352.0
5,969,4040.0
10,898,2254.0
5,1244,2680.0
5,1674,1045.0
5,923,10071.0
5,2037,2476.0
8,584,2624.0
3,449,4340.0
5,1672,3501.0
6,1169,1400.0
10,568,6625.0
10,1929,4203.0
6,1170,2931.0
5,2065,6966.0
10,827,5843.0
10,523,5198.0
5,1707,3773.0
5,2089,7279.0
10,105,4141.0
5,1805,4175.0
1,1664,1856.0
2,1018,7189.0
5,945,1721.0
8,74,4353.0
10,1944,2137.0
3,590,4659.0
5,959,3946.0
8,2128,1665.0
5,1449,5413.0
10,495,2852.0
6,173,2017.0
3,1179,2980.0
10,331,3516.0
3,687,2765.0
