
GEOID,NAME
54029000022,22
54029000023,23
54029000024,24
54029000025,25
54029000027,27
54029000028,28
54031000001,1
54031000002,2
54031000003,3
54031000005,5
54031000006,6
54031000007,7
54031000012,12
54031000013,13
54031000014,14
54031000015,15
54031000016,16
54031000018,18
54031000019,19
54031000020,20
54035000001,1
54035000004,4
54035000005,5
54035000006,6
54035000007,7
54035000008,8
54035000009,9
54035000010,10
54035000011,11
54035000014,14
54035000015,15
54035000016,16
54035000017,17
54035000018,18
54035000019,19
54035000020,20
54035000021,21
54035000022,22
54035000023,23
54035000024,24
54035000026,26
54035000027,27
54035000028,28
54035000029,29
54035000030,30
54035000032,32
54035000033,33
54035000037,37
54035000038,38
54035000039,39
54035000043,43
54037000002,2
54037000003,3
54037000004,4
54037000006,6
54037000007,7
54037000012,12
54037000013,13
54037000014,14
54037000015,15
54037000016,16
54037000017,17
54037000019,19
54037000020,20
54037000021,21
54037000022,22
54037000023,23
54037000024,24
54037000025,25
54037000026,26
54037000027,27
54037000028,28
54037000029,29
54037000031,31
54037000032,32
54037000033,33
54037000034,34
54037000035,35
54041000001,1
54041000002,2
54041000003,3
54041000004,4
54041000005,5
54041000006,6
54041000007,7
54041000008,8
54041000009,9
54041000010,10
54041000011,11
54041000012,12
54041000013,13
54041000014,14
54041000015,15
54041000016,16
54041000017,17
54041000018,18
54041000019,19
54041000020,20
54041000021,21
54041000022,22
54041000023,23
54041000024,24
54043000001,1
54043000002,2
54043000003,3
54043000004,4
54043000005,5
54043000007,7
54043000008,8
54043000009,9
54043000010,10
54043000012,12
54043000013,13
54043000014,14
54043000015,15
54043000016,16
54043000017,17
54043000020,20
54043000021,21
54043000022,22
54043000023,23
54043000024,24
54043000025,25
54043000026,26
54043000028,28
54043000029,29
54043000031,31
54043000032,32
54043000033,33
54045000001,Voting District 1 Bulwark
54045000002,Voting District 2 Striker
54045000004,Voting District 4 Layne
54045000005,Voting District 5 Chapmanville City
54045000006,Voting District 6 Rocky Hill
54045000007,Voting District 7 East Chapmanville
54045000008,Voting District 8 Lake
54045000010,Voting District 10 Henlawson
54045000011,Voting District 11 Crooked Creek
54045000013,Voting District 13 West Logan
54045000014,Voting District 14 Justice Addition
54045000015,Voting District 15 Mitchell Heights
54045000020,Voting District 20 Accoville
54045000021,Voting District 21 Amherstdale
54045000022,Voting District 22 Lorado
54045000025,Voting District 25 Christian
54045000026,Voting District 26 Man City
54045000027,Voting District 27 Mallory
54045000028,Voting District 28 Earling
54045000031,Voting District 31 Sharples
54045000036,Voting District 36 Logan East
54045000037,Voting District 37 McConnell
54045000039,Voting District 39 Logan Central
54045000040,Voting District 40 Lyburn
54045000041,Voting District 41 Stollings
54045000043,Voting District 43 Main Holden
54045000045,Voting District 45 Whitman
54045000046,Voting District 46 Monaville
54045000047,Voting District 47 Cherry Tree
54045000049,Voting District 49 Chauncey
54045000050,Voting District 50 Barnabus
54045000053,Voting District 53 Verdunville
54045000054,Voting District 54 Price Bottom
54045000055,Voting District 55 J B Ellis
54045000056,Voting District 56 Mt Gay
54053000001,1
54053000002,2
54053000003,3
54053000004,4
54053000005,5
54053000006,6
54053000007,7
54053000008,8
54053000009,9
54053000010,10
54053000011,11
54053000012,12
54053000013,13
54053000014,14
54053000015,15
54053000016,16
54053000017,17
54053000018,18
54053000019,19
54053000020,20
54053000021,21
54053000022,22
54053000023,23
54053000024,24
54053000025,25
54053000026,26
54053000027,27
54053000028,28
54053000029,29
54053000030,30
54053000031,31
54053000032,32
54053000033,33
54053000034,34
54053000035,35
54053000036,36
54053000037,37
54053000038,38
54057000001,1
54057000002,2
54057000003,3
54057000004,4
54057000005,5
54057000006,6
54057000007,7
54057000008,8
54057000009,9
54057000010,10
54057000011,11
54057000012,12
54057000013,13
54057000014,14
54057000015,15
54057000016,16
54057000017,17
54057000018,18
54057000019,19
54057000020,20
54057000021,21
54057000022,22
54057000023,23
54057000024,24
54057000025,25
54057000026,26
54057000027,27
54057000028,28
54057000029,29
54057000030,30
54057000031,31
54057000032,32
54057000033,33
54057000034,34
54057000035,35
54059000001,1
54059000003,3
54059000005,5
54059000006,6
54059000007,7
54059000009,9
54059000022,22
54059000023,23
54059000026,26
54059000027,27
54059000028,28
54059000030,30
54059000041,41
54059000043,43
54059000044,44
54059000045,45
54059000046,46
54059000047,47
54059000048,48
54059000050,50
54059000051,51
54059000054,54
54059000055,55
54059000056,56
54059000057,57
54059000059,59
54059000072,72
54059000073,73
54059000074,74
54059000075,75
54059000076,76
54059000077,77
54061000001,1
54061000002,2
54061000010,10
54061000013,13
54061000016,16
54061000023,23
54061000025,25
54061000026,26
54061000030,30
54061000032,32
54061000033,33
54061000035,35
54061000036,36
54061000038,38
54061000040,40
54061000041,41
54061000044,44
54061000047,47
54061000048,48
54061000051,51
54061000052,52
54061000058,58
54061000059,59
54061000061,61
54061000062,62
54061000063,63
54061000064,64
54061000067,67
54061000068,68
54061000071,71
54061000074,74
54061000076,76
54061000077,77
54061000078,78
54061000079,79
54061000081,81
54061000082,82
54061000083,83
54061000086,86
5406100051M,51M
54067000001,1
54067000002,2
54067000003,3
54067000005,5
54067000007,7
54067000008,8
54067000009,9
54067000013,13
54067000014,14
54067000015,15
54067000016,16
54067000017,17
54067000018,18
54067000019,19
54067000020,20
54067000021,21
54067000023,23
54067000025,25
54067000027,27
54067000028,28
54067000029,29
54067000030,30
54067000031,31
54067000032,32
54067000033,33
54067000035,35
54069000004,4
54069000005,5
54069000010,10
54069000011,11
54069000012,12
54069000013,13
54069000016,16
54069000020,20
54069000024,24
54069000028,28
54069000031,31
54069000036,36
54069000060,60
54069000064,64
54069000069,69
54069000077,77
54069000103,103
54069000104,104
54069000107,107
54069000108,108
54069000113,113
54069000115,115
54069000116,116
54069000120,120
54069000124,124
54069000125,125
54069000127,127
54069000129,129
54069000130,130
54069000135,135
54069000137,137
54069000141,141
54069000143,143
54069000146,146
54069000148,148
54069000158,158
54069000161,161
54071000001,1
54071000002,2
54071000003,3
54071000005,5
54071000006,6
54071000007,7
54071000008,8
54071000009,9
54071000011,11
54071000012,12
54071000013,13
54071000014,14
54071000015,15
54073000001,1 Eureka
54073000002,2 Belmont
54073000003,3 Schultz
54073000004,4 Hebron
54073000005,5 Ninemile
54073000006,6 PRT
54073000007,7 Arvilla
54073000008,8 Calcutta
54073000009,9 Grade School
54073000011,11 Pioneer
54075000001,1
54075000002,2
54075000003,3
54075000004,4
54075000010,10
54075000012,12
54075000013,13
54075000015,15
54075000018,18
54075000021,21
54075000023,23
54075000026,26
54075000027,27
54075000029,29
54079000001,1
54079000002,2
54079000004,4
54079000006,6
54079000007,7
54079000008,8
54079000009,9
54079000010,10
54079000011,11
54079000014,14
54079000015,15
54079000016,16
54079000017,17
54079000018,18
54079000019,19
54079000021,21
54079000022,22
54079000023,23
54079000025,25
54079000026,26
54079000027,27
54079000028,28
54079000029,29
54079000030,30
54079000031,31
54079000032,32
54079000033,33
54079000034,34
54079000035,35
54079000037,37
54079000038,38
54079000040,40
54079000041,41
54079000042,42
54079000043,43
54079000047,47
54079000048,48
54083000023,23
54083000024,24
54083000025,25
54083000027,27
54083000028,28
54083000030,30
54083000031,31
54083000075,75
54083000080,80
54083000085,85
54083000150,150
54083000155,155
54083000160,160
54083000165,165
54083000170,170
54083000180,180
54083000185,185
54083000190,190
54083000200,200
54083000205,205
54083000215,215
54083000220,220
54083000225,225
5408300028A,28A
54085000001,1
54085000002,2
54085000003,3
54085000004,4
54085000005,5
54085000006,6
54085000007,7
54085000008,8
54085000009,9
54085000010,10
54085000011,11
54085000012,12
54085000013,13
54085000014,14
54085000015,15
54087000001,1
54087000004,4
54087000005,5
54087000007,7
54087000010,10
54087000012,12
54087000015,15
54087000016,16
54087000019,19
54087000020,20
54087000021,21
54087000022,22
54087000023,23
54087000025,25
54087000028,28
54087000029,29
54087000030,30
54087000032,32
54089000001,1
54089000004,4
54089000007,7
54089000009,9
54089000011,11
54089000012,12
54089000013,13
54089000015,15
54089000017,17
54089000022,22
54089000023,23
54089000026,26
54089000027,27
54089000030,30
54089000032,32
54091000001,1
54091000002,2
54091000003,3
54091000004,4
54091000006,6
54091000009,9
54091000010,10
54091000011,11
54091000012,12
54091000014,14
54091000017,17
54091000019,19
54091000023,23
54091000025,25
54091000026,26
54091000029,29
54091000031,31
54091000036,36
54093000001,1
54093000002,2
54093000003,3
54093000004,4
54093000005,5
54093000010,10
54093000012,12
54093000014,14
54093000015,15
54093000016,16
54093000024,24
54095000001,1
54095000002,2
54095000003,3
54095000004,4
54095000005,5
54095000006,6
54095000007,7
54095000008,8
54095000009,9
54095000010,10
54095000011,11
54095000012,12
54097000004,4
54097000006,6
54097000007,7
54097000008,8
54097000009,9
54097000012,12
54097000014,14
54097000016,16
54097000018,18
54097000019,19
54097000020,20
54097000025,25
54097000027,27
54097000033,33
54097000035,35
54097000037,37
54097000038,38
54097000039,39
54097000044,44
54097000047,47
54097054073,40
54099000001,1
54099000003,3
54099000005,5
54099000006,6
54099000011,11
54099000012,12
54099000013,13
54099000014,14
54099000016,16
54099000017,17
54099000018,18
54099000019,19
54099000020,20
54099000021,21
54099000022,22
54099000030,30
54099000031,31
54099000034,34
54099000036,36
54099000037,37
54099000038,38
54099000041,41
54099000042,42
54099000045,45
54099000048,48
54099000049,49
54099000050,50
54099000051,51
54099000052,52
54099000053,53
54099000054,54
54099000056,56
54099000057,57
54099000059,59
54099000060,60
54099000061,61
54099000062,62
54099000063,63
54101000002,2
54101000003,3
54101000004,4
54101000005,5
54101000008,8
54101000010,10
54101000015,15
54101000018,18
54101000021,21
54101000022,22
54101000023,23
54101000024,24
54101000027,27
54101000029,29
54103000004,4
54103000005,5
54103000010,10
54103000015,15
54103000016,16
54103000018,18
54103000021,21
54103000024,24
54103000027,27
54103000029,29
54103000033,33
54103000036,36
54103000038,38
54103000039,39
54103000040,40
54103000042,42
54103000043,43
54103000044,44
54103000045,45
54103000046,46
54103000048,48
54103000050,50
54105000001,1
54105000002,2
54105000008,8
54105000011,11
54105000012,12
54105000017,17
5410500007A,7A
5410500011A,11A
54109000001,1
54109000002,2
54109000004,4
54109000006,6
54109000007,7
54109000009,9
54109000010,10
54109000012,12
54109000013,13
54109000014,14
54109000015,15
54109000016,16
54109000017,17
54109000018,18
54109000019,19
54109000020,20
54109000021,21
54109000022,22
54109000023,23
54109000024,24
54109000026,26
54109000027,27
54109000028,28
54109000029,29
54109000031,31
54109000032,32
54109000033,33
54109000034,34
54109000037,37
54109000038,38
54109000039,39
54109000043,43
54109000044,44
54109000045,45
