27,3041,3537.0
21,5386,9079.0
28,6416,8997.0
14,1261,773.0
0,7041,2127.0
34,5500,4432.0
27,5891,4277.0
6,5918,195.0
14,1260,6766.0
5,1314,3.0
23,6319,4771.0
23,8794,828.0
13,239,5442.0
13,8293,6314.0
3,7859,3066.0
34,631,10589.0
32,7361,0.01
24,4613,3341.0
15,4092,6409.0
32,8089,7568.0
37,1037,557.0
31,4859,4371.0
8,7518,3344.0
24,7208,5209.0
14,7137,4745.0
13,7875,1254.0
21,2307,7955.0
18,5424,12919.0
4,7082,3541.0
8,382,4415.0
21,6801,5259.0
21,1370,5547.0
0,8897,44.0
3,1983,5945.0
13,1715,18.0
27,7626,4952.0
18,723,9086.0
32,7293,0.01
14,4496,729.0
15,5002,6245.0
28,3590,1130.0
28,4652,2653.0
21,1647,4118.0
0,8748,1405.0
37,1036,460.0
5,4525,19.0
6,7169,3.0
37,5394,5481.0
23,6492,2646.0
5,6774,155.0
34,8115,10232.0
32,4596,5102.0
6,3370,1892.0
21,2308,4841.0
5,7997,2108.0
24,7233,2766.0
0,3874,477.0
13,8880,2105.0
18,545,11012.0
0,8075,2690.0
35,767,8509.0
34,5501,1631.0
27,8400,1659.0
22,8654,85.0
8,385,4394.0
28,3802,919.0
14,8005,2400.0
5,4523,5217.0
24,4611,608.0
5,4527,41.0
8,8446,2970.0
32,7733,545.0
35,6894,8213.0
36,4883,3260.0
32,8051,4050.0
23,7699,2504.0
6,5913,4567.0
9,7291,3565.0
14,6971,1877.0
5,1607,1555.0
29,7988,602.0
31,660,8179.0
24,1147,3049.0
8,120,3611.0
32,7035,3752.0
23,5543,6038.0
9,4638,6776.0
6,3022,4217.0
14,7350,6693.0
31,5181,2060.0
13,1434,2165.0
9,7340,1414.0
14,7720,2353.0
0,7315,3312.0
37,7486,407.0
16,3249,10673.0
36,6475,1759.0
15,5683,3837.0
8,79,4720.0
14,4493,1861.0
22,7919,3092.0
16,5286,1454.0
0,7744,1253.0
16,6661,3663.0
6,3327,331.0
14,4274,2364.0
8,8138,5160.0
28,2383,1131.0
14,8949,3934.0
