map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
I027K01N14,1553368.299113,0.008000,0.494300,0.049800,7,0.500000,6.302400,0.450200,7,0.044100,0.038400,0.025300,0.025200,0.005700,0.024900,0.007000,2.734800,-0.001000,-0.002100,0.001100,-0.000500,5.529500,0.395000,4.287800,5.529500,0.395000,8.713500,0.564800,0.578400,0.000000,5,7.685100,5,0.453100,0.336600,1.281200,2.080100,78,53,50,70,12
I028K01N14,1651973.527829,0.008000,0.494300,0.035700,7,0.500000,6.499800,0.464300,6,0.030000,0.024300,0.014500,0.014000,0.003600,0.013700,0.004500,1.366900,-0.003700,-0.004700,0.001000,-0.003600,4.841400,0.345800,3.715100,4.841400,0.345800,6.248500,0.578600,0.570800,0.692900,5,7.546800,5,0.454600,0.319500,1.284000,2.058400,85,46,57,68,12
I029K01N14,1488717.302605,0.019800,0.494300,0.070700,7,0.500000,6.009900,0.429300,6,0.065000,0.059300,0.046200,0.045400,0.009700,0.044900,0.012500,5.649800,0.002100,0.001700,0.000400,0.006900,5.674000,0.405300,4.284000,5.674000,0.405300,12.367700,0.577200,0.568600,0.000000,5,6.835600,5,0.511700,0.372600,1.256400,2.030900,67,54,50,84,16
I030K01N14,1474125.068979,0.009500,0.494300,0.037300,7,0.500000,6.477600,0.462700,6,0.031600,0.025900,0.011200,0.010900,0.002300,0.010500,0.003500,1.102400,0.001200,0.000600,0.000600,-0.003800,5.934100,0.423900,4.574700,5.934100,0.423900,6.525100,0.569200,0.563000,0.000000,5,8.275900,5,0.500600,0.342500,1.283800,2.055700,84,57,50,80,12
I031K01N14,1556384.161288,0.013400,0.494300,0.052500,7,0.500000,6.264800,0.447500,7,0.046800,0.041100,0.023600,0.023600,0.004600,0.023400,0.007200,2.360200,-0.002800,-0.004200,0.001400,-0.001700,6.685000,0.477500,5.061400,6.685000,0.477500,9.183600,0.557800,0.572000,0.000000,5,7.614200,5,0.513900,0.341600,1.283900,2.058100,77,64,50,80,12
I032K01N14,1450718.398903,0.009500,0.494300,0.033000,7,0.500000,6.538600,0.467000,8,0.027200,0.021500,0.008200,0.008600,0.002000,0.008500,0.003600,1.099200,-0.016000,-0.016200,0.000200,-0.003300,5.579700,0.398600,4.331700,5.579700,0.398600,5.763700,0.556300,0.588800,0.000000,5,7.963700,5,0.485100,0.315200,1.266000,2.051400,86,53,50,74,14
I033K01N14,1806602.839438,0.015000,0.494300,0.017000,7,0.500000,6.761500,0.483000,7,0.011300,0.005600,0.001400,0.001100,0.000400,0.000700,0.002700,-0.020600,0.008200,0.007900,0.000300,-0.006100,3.298100,0.235600,2.741000,3.298100,0.235600,2.978800,0.587200,0.599200,0.000000,5,7.749600,5,0.480100,0.332900,1.327300,2.153400,94,31,50,75,6
I034K01N14,1471511.336527,0.011200,0.494300,0.044000,7,0.500000,6.383900,0.456000,7,0.038300,0.032600,0.022500,0.021900,0.005500,0.021500,0.006400,2.686000,-0.001900,-0.002000,0.000100,0.000400,4.873900,0.348100,3.768000,4.873900,0.348100,7.695100,0.568100,0.579700,0.000000,5,7.498600,5,0.506700,0.349800,1.276100,2.062500,81,46,50,81,13
I035K01N14,1473026.790039,0.005500,0.494300,0.014100,7,0.500000,6.802000,0.485900,8,0.008400,0.002700,-0.018000,-0.016800,-0.003100,-0.016700,-0.003500,-1.407800,-0.015900,-0.016200,0.000300,-0.009200,7.309500,0.522100,5.626400,7.309500,0.522100,2.473000,0.545700,0.575000,0.000000,5,8.264800,5,0.451500,0.324300,1.289000,2.110900,96,70,50,68,11
I036K01N14,1507621.350975,0.013700,0.494300,0.006600,7,0.500000,6.908000,0.493400,7,0.000900,-0.004900,-0.022400,-0.021500,-0.004400,-0.021400,-0.005500,-1.936900,-0.007100,-0.007300,0.000200,-0.010300,6.560300,0.468600,5.071800,6.560300,0.468600,1.149100,0.554700,0.566500,0.000000,5,7.491400,5,0.454900,0.318800,1.286600,2.133100,100,62,50,68,12
