30081000006,30081000007
30029000001,30029000002
30017000014,30079000004
30029000007,30029000019
30043002-75,3009300009N
3003100061D,3003100062C
30039000010,3006300092C
30029000006,30029000041
30049000012,30049000019
30055000027,30085000027
301110043.2,301110056.2
30089000002,30089000003
3006700060A,300670060EL
30033000019,30105000031
30045000002,30045000003
30087000015,30087000017
30001000017,30093000029
30029000036,30029000089
301110045.2,301110046.1
3006300090R,300630099RS
3004700POL8,3004700SWA2
30055000027,30105000031
30027000007,30027000009
30099000001,30099000007
30043005-75,3009300012E
3006300089B,3006300091L
30049000001,30049000004
3006300089P,300630091SC
301110047.1,301110049.1
30049000007,30049000016
301110052.2,301110054.1
30081000011,30081000018
30003000003,3000300004N
3003100064D,300570015-2
30049000013,30049000025
30089000007,30089000008
30023004-77,30039000002
301110043.1,301110043.2
30043007-75,30049000026
30015000008,30015000009
30029NAHD15,30049000033
30057000005,300570001-2
30039000001,30039000002
30017000007,30033000007
30015000009,30041000014
30009000005,30009000006
30049000029,30059000005
301110045.2,30111040-45
3004700POL7,3004700POL8
30073000035,30099000011
30005000003,30005000009
30037000001,30107000009
30085000010,30091000002
3006300100S,300630099RN
3006300014N,30089000009
30021000003,30021000006
30001000004,30001000005
3006300092B,3006300094E
3003100061A,3003100065A
30017000002,30017000008
30085000024,30085000026
30041000015,30041000020
30001000006,30001000007
30073000035,3010100Sh-6
30073000020,30073000023
30001000008,30001000019
30087000017,30087000030
30057000007,30093000029
3006700059B,300670060GL
3004700ARL1,3006300094F
301110042.1,301110056.1
30055000004,30079000004
300630090CC,300630099RS
30053000012,30089000002
300630097PC,300630097TR
30015000008,30041000020
30025000001,30079000003
30027000003,30027000017
3006300094E,30063091RsW
3006700060B,300670060FL
30049000003,30049000012
3001300021B,3001300026A
30043007-75,30049000013
30027000014,30037000001
30003000015,30009000015
30003000006,30003000026
30029000024,30029000034
30091000003,30091000005
30107000002,30107000009
30083000001,30083000022
30029000018,30029000019
30049000010,30049000019
30029000008,30029000014
3003100067B,3003100067C
30049000004,30049000023
30061000022,300630097PC
30033000007,30087000026
30003000006,30087000030
301110051.2,301110052.1
30081000002,30081000003
3001300026A,3001300026B
30087000020,30103000001
30083000008,30083000023
301110055.3,301110055.4
3009300009N,3009300009W
3009300012E,3009300012W
3004700CHA1,30089000009
30003000005,3000300004N
3009300008W,3009300019N
30049000018,30049000024
30049000002,30049000019
3003100069A,3003100069C
30003000006,3000300004N
30049000014,30049000017
30077000001,30077000008
30029000039,30053000003
300470000NA,3004700DAY1
30035000008,30035000010
3004700RON1,3004700RON2
30049000028,30049000030
30017000006,30079000004
30095000011,30095000013
3006300096E,3006300096W
3003100065C,3003100067A
30029000039,30029000049
30029000017,30035000008
30029000018,30053000002
301110044.1,301110044.2
30001000020,30001000023
3004700SWA1,3004700SWA2
30089000005,30089000008
30003000002,30003000021
30065000005,301110040.1
30003000010,30003000025
30049000026,30077000008
30049000001,30049000027
3006300092B,3006300092P
30053000001,30053000003
3009300009N,3009300012E
301110049.1,301110050.1
30089000005,30089000006
30053000008,30089000002
30033000019,30069000001
30039000009,30039000010
300130019A4,300130019B2
30029000048,30029000049
30085000022,30085000024
300470000NA,3004700POL3
3006300094L,3006300095L
30049000005,30049000018
3003100062A,3003100063B
30017000010,30075000003
30027000006,30027000017
30029NAHD15,300630092Sw
30017000013,30025000001
30009000011,3006700059D
30021000006,30055000004
301110049.1,301110056.2
3003100061D,3003100062B
30027000013,30027000017
30007000013,3003100069A
30029000013,30029000024
30089000003,30089000004
30029000042,3004700FER1
301110052.1,301110052.2
300630089CS,30081000023
30029000026,30029000036
30003000003,30003000004
3004700POL5,3004700POL7
301110053.2,301110055.3
30017000007,30087000010
30023003-78,3002303-77W
3006700059B,30097000003
30029000036,30029000045
30023004-77,3002305-77S
30005000001,30005000009
3006300094H,3006300095L
30037000001,30095000009
301110053.3,301110055.3
30043009-75,30049000016
3004700BEA2,3004700SWA2
30037000001,30097000004
301110051.2,301110052.2
30039000001,30039000010
3003100061B,3003100064C
30057000007,3009300009E
30095000001,30095000013
30013000025,3001300026A
30087000020,30087000021
3003100061A,3003100061C
30005000010,30005000013
3006300094H,300630095He
30007000013,30043002-75
3001300019E,30015000006
30075000008,30075000012
30083000012,30085000012
30053000003,30053000010
30085000017,30085000028
301110054.2,301110055.2
30015000008,30041000018
3006300014N,3006300094F
30029000016,30029000021
301110048.2,301110050.2
30051000001,30051000003
30087000007,30087000017
3006300094H,3006300096E
3003100067A,3003100068A
30095000010,30097000005
30065000003,30065000005
30039000009,30077000016
30001000002,30001000006
3002302-77W,3002305-77S
30065000006,30069000001
3009300010S,3009300012E
30095000004,30097000005
3003100063B,3003100063C
3010100Sh-6,3010100Su-1
30081000010,30081000013
301110040.4,301110040.5
300130019A1,30099000006
30013000030,30045000001
300630091SC,30063100SJW
30033000014,30087000026
3006700059A,3006700059B
30093000014,3009300012W
3001300022B,300130019A1
30027000002,30027000016
301110044.3,301110045.2
30003000026,30087000007
30083000002,30083000003
30013000027,3001300021A
3009300009E,3009300019S
30035000003,30035000004
30053000003,30053000006
30011000001,30075000009
300630098TR,300630099MH
30091000001,30091000006
30005000010,30015000009
30043006-75,30043008-75
3002303-77E,3002303-77W
30029000016,30029000018
300570001-1,300570001-2
30095000004,30095000009
30003000021,30003000025
30029000038,300470000NA
30049000027,30049000030
3006300097L,30081000024
3003100061C,3003100062B
30029000002,30029000005
30041000014,30041000025
301110046.2,301110048.2
30001000021,30081000001
301110046.2,301110047.2
30049000027,30049000028
3009300002E,3009300012E
301110051.1,301110056.3
30003000021,30009000005
30099000001,30099000017
300630099RN,30063100SJE
3002303-77E,3002304-78W
3006700060A,300670060CL
30027000003,30027000004
30093000001,3009300012E
3002302-77E,3002302-77W
30083000004,30083000008
30049000006,30049000024
30017000014,30025000001
300630092Se,30077000014
30041000014,30041000015
30015000005,30041000028
3006300089L,3006300097L
30039000002,30039000009
3003100061B,3003100069D
3003100065B,3003100066A
30035000002,30035000006
30003000017,30003000019
30043001-71,3009300009E
30065000007,30087000026
301110044.2,301110045.2
30003000001,3000300004N
30023004-77,30081000001
3003100062B,3003100063A
30073000023,30073000035
30097000003,30097000004
30095000007,30095000009
3009300008E,3009300008W
30007000001,30043004-75
30049000006,30049000025
30039000010,30081000022
3006300090E,300630089LC
30097000004,30107000002
30015000002,30015000004
30051000001,3010100Su-1
3004700BEA2,3004700SWA1
30033000007,30087000020
30001000001,30001000014
30073000019,30099000011
3006300097H,300630098TR
30073000027,30073000029
30099000001,30099000011
30039000001,30081000018
3006300100N,3006300100S
30009000003,30009000007
30003000026,30087000015
30035000009,30035000010
3002304-78E,3002304-78W
30017000001,30017000008
3004700PAB2,3004700RON2
30049000026,30049000028
30043004-75,30043006-75
30017000001,30017000002
30029000024,3004700DAY1
30013000027,3001300021B
30029000018,30029000023
3006300096W,3006300097H
30051000001,3010100DG-1
30003000017,30003000018
30093000017,3009300027N
30021000001,30021000003
30033000007,30079000004
30061000025,30061000026
30043005-75,30077000008
30053000010,30053000014
30085000017,30091000002
301110046.2,301110053.1
30093000017,3009300012E
30041000001,30041000009
30007000013,30043004-75
3009300009N,3009300019S
30019000003,30085000017
301110056.1,301110056.2
301110042.2,301110056.3
30075000003,30075000012
30015000009,30027000004
3003100068B,3003100068C
30053000011,30089000004
30049000001,30049000010
3001300021A,3001300021B
30013000023,30013000025
30051000001,3010100Sh-6
3003100065B,3003100065C
30049000031,30049000033
3003100068A,3003100068C
300130019A4,300130019B1
30081000011,30081000013
30029000019,30029000021
30097000003,30107000001
30029NAHD15,3004700SWA2
30073000029,30073000035
3004700RON2,300630092Sw
30017000006,30017000012
3004700SWA2,300630092Sw
30051000002,30051000003
30097000004,30107000009
3006300100N,300630095Ha
3004700STI2,300630092Sw
30017000011,30017000012
30029000029,30029000034
3003100067B,3003100068C
30035000008,30035000009
30035000011,30035000015
3003100064C,3006700059B
30049000015,30049000018
30017000006,30017000011
30081000006,30081000008
3004700RON1,30089000009
30049000003,30049000015
30087000015,30087000030
3001300020B,3001300026B
30083000009,30083000022
30035000007,30073000035
30027000002,30027000013
3004700FER1,3004700SWA1
30039000001,30081000011
30085000002,30085000012
30065000001,30065000005
30049000003,30049000018
30079000002,30079000004
301110050.2,301110054.1
30039000010,30081000021
3003100061B,3003100061D
30019000002,30091000005
30027000006,30027000007
30065000005,30065000006
30041000021,30041000025
30017000008,30087000010
30029000006,30029000025
3006700059D,30097000003
3003100061B,3006700060A
30027000005,30027000018
30027000007,30027000010
30095000002,301110040.4
300670060FL,300670060GL
30003000005,30003000025
301110056.2,301110056.3
30081000005,30081000006
30003000001,30003000017
30041000014,30041000018
30029000020,30029000045
30083000017,30083000019
3004700POL2,3004700POL6
30081000010,30081000015
300710011-N,30105000033
3001300019C,3001300020A
30049000004,30049000024
3006300097H,300630095He
30027000011,30027000013
3006300098N,3006300098S
30029000038,3004700FER1
30089000008,30089000009
30073000019,30099000001
30015000005,30041000018
30035000002,30035000003
30085000017,30085000018
301110051.1,301110056.2
30081000019,30081000024
30011000014,30075000011
30021000006,30079000004
30033000007,30033000014
30081000022,30081000023
301110045.2,301110047.2
3009300008E,3009300009W
30077000003,30077000016
30003000001,30003000004
301110043.2,30111040-45
3006300094E,300630094SM
30001000003,30001000012
30039000001,30081000004
3003100061C,3003100061D
30017000006,30017000008
30049000009,30049000013
3006300094H,3006300094L
30039000002,30081000003
30061000022,30061000030
30029000008,30029000021
30029000005,30029000031
3004700BEA2,3004700POL3
301110046.2,301110050.2
3006300090E,3006300090W
30055000008,30079000004
30035000007,30035000011
30081000018,30081000019
30019000003,30105000034
30029000036,30029000039
3003100064B,30057000020
3004700PAB1,30089000008
30083000007,30083000019
3006300094F,30089000009
30001000023,30093000028
30009000006,30009000011
30017000009,30087000017
30097000004,30097000005
30087000011,30087000021
30077000012,30077000014
30029000007,30029000048
3003100063A,3003100065C
30057000005,300570001-1
30029NAHD15,3004700SWA1
30009000016,30095000001
3003100065C,3003100068A
3003100059A,3006700060A
30013000027,30015000004
3003100062A,3003100062B
300630098TR,300630099CS
30015000008,30041000022
3002302-77E,3002303-77E
30013000027,3001300026B
30029000014,30029000021
30007000011,30059000005
3006300089P,3006300090E
3009300009E,3009300009N
30007000011,30007000012
30013000030,30059000005
30037000001,30037000002
300130019A2,300130019A3
300630099MH,300630099RS
30073000023,30099000011
30085000027,30105000031
30017000013,30079000004
30087000010,30087000011
30001000023,30023004-77
30081000017,30081000024
30029000006,30029000044
301110042.2,301110056.2
3003100059A,30059000005
3006300090R,3006300090W
30029000018,30029000049
3001300020A,300130019B1
30039000002,30077000016
30041000003,30041000009
30055000008,30055000027
30017000008,30087000011
30001000006,30001000014
30093000003,30093000006
3002304-78E,3009300012E
30077000001,30077000002
30007000013,30043001-71
30013000023,3001300020B
30077000005,30077000007
300670060CL,300670060DL
30093000016,3009300027N
3004700BEA1,3004700BEA2
30029000029,30029000043
30003000007,30003000021
30015000003,30015000009
30083000012,30083000023
30055000008,30105000031
30001000002,30001000009
30009000016,30095000011
30083000012,30083000017
30053000011,30089000003
30015000002,30041000022
3002304-78W,30039000002
30093000021,3009300002W
3003100061C,3003100066B
30041000001,30041000007
3003100063C,3003100066B
30037000002,30065000005
30081000019,30081000022
301110040.4,301110053.2
3006300089B,3006300092B
30021000003,30021000004
30027000003,30027000016
30023001-78,3002301-77W
3003100062D,3003100063A
30083000012,30085000002
30093000006,30093000022
3003100061A,3003100067A
30081000004,30081000006
301110043.3,301110045.2
30029000018,30029000048
30063100SJE,30063100SJW
30073000029,3010100Sh-6
30049000013,30049000026
30009000011,30095000011
3006700060B,300670060EL
30013000027,3001300022C
30081000003,30081000004
301110051.2,301110051.3
30027000008,30027000013
30029NAHD10,30029NAHD15
30065000006,301110040.1
30029000001,30029000005
3006300096F,300630094SM
300130019B1,300130019B2
30081000004,30081000011
30005000015,300710011-S
30043005-75,30049000026
301110042.1,301110042.2
3004700PAB2,300630092Sw
301110040.4,301110053.1
30081000010,30081000016
30095000009,301110040.3
301110040.1,30111040-45
3006700060A,300670060GL
30029000036,30029000044
30027000017,30037000001
30035000008,3003500021C
300130019A2,30099000007
30049000001,30049000003
30085000015,30085000017
30081000016,30081000017
30017000003,30017000008
30081000004,30081000005
3004700POL4,3004700POL5
30083000001,30083000002
30043007-75,30043008-75
30079000003,30109000001
30049000010,30049000012
30041000022,30051000004
30039000010,30077000011
300710011-S,30105000031
301110039.1,301110039.2
301110046.2,301110054.1
30089000004,30089000005
301110054.2,301110055.3
30043001-71,30043002-75
3006300100N,300630095SC
30029000017,30035000019
301110047.1,301110048.1
3004700POL4,3004700POL6
3003100061A,3003100069D
30049000033,30077000014
30021000007,30079000003
30011000001,30075000011
30029000044,30029000048
30049000021,30049000029
30093000011,3009300010N
30043004-75,30043007-75
30081000005,30081000009
301110047.2,301110048.2
30029000013,30029000029
30029000043,30029NAHD10
30055000004,30055000008
30061000022,3006300097L
30049000011,30049000021
30087000030,30103000001
30029000005,30029000037
3004700POL3,3004700SWA2
30049000032,30049000033
30023002-78,30023003-78
301110043.2,301110049.1
30017000002,30017000004
30015000009,30027000016
30011000001,30011000014
300630089LC,300630089UC
30005000001,30005000008
3006300098N,300630098TR
30003000010,30075000012
30085000027,30085000028
30081000017,30081000018
3003100059A,3006700059B
30043006-75,30043007-75
30049000029,30049000030
30083000005,30109000001
300630098TR,300630099RN
30009000001,301110055.3
3003100064D,3003100068A
30035000015,30035000019
30041000010,30041000016
300670060DL,300670060EL
30087000003,30087000020
300130019B2,30049000029
301110039.2,301110056.1
30041000001,30041000016
30061000026,30089000006
3003100069C,3003100069D
30021000003,30021000007
30049000031,30049000032
3006300098S,3006300100N
