2122700B109,2122700D112
2111100G142,2111100G169
2101500C102,2101500C137
2106700B112,2106700B125
2100500F102,2122900A103
2104700G105,2104700G106
2111100B133,2111100Q125
2115300B104,2115300B105
2114500C107,2114500C109
2109700F102,2109700H102
2105900A129,2105900A136
2107100B106,2107100B112
2111100H121,2111100H150
2106700A121,2106700A145
2123700B102,2123700B106
2111100F176,2111100V117
2110700D023,2110700E031
2107500B101,2107500B104
2107300A107,2107300E108
2101500C124,2101500C128
2110100C101,2110100C110
2106700B216,2106700B219
2123700B106,2123700C102
2113100A104,2113100B103
2120300A102,2120300E104
2101900B116,2101900C109
2107900A101,2107900D103
2111100C134,2111100C135
2113700D101,2113700D106
2120900E120,2120900E122
2113100D103,2119300A105
2108700A104,2108700C101
2106700B164,2106700B196
2122300A102,2122300A103
2101300A102,2109500E107
2122100A101,2122100C101
2103700B904,2119100B101
2102500A103,2123700B106
2100300E102,2121300A101
2107100D101,2119500B103
2111100C115,2111100C139
2100900B103,2117100B101
2111100V107,2121100F101
2106900C102,2106900D103
2120700A103,2120700E102
2111500C101,2111500C107
2101500B120,2101500C137
2112500A103,2112500E104
2111700B108,2111700B111
2106700A176,2106700A182
2111100K127,2111100O131
2112500C104,2112500D107
2119500C110,2119500D104
2111100H114,2111100H120
2111100L108,2111100L148
2106900E101,2106900E102
2113300A104,2113300A108
2111100H118,2111100H120
2111100C130,2111100C131
2110300B103,2118500C101
2111100E167,2111100E169
2117900C103,2117900C104
2120900C118,2120900D115
2106700A150,2106700A155
2101500C127,2101500C130
2102100E101,2102100E102
2121100C101,2121100D105
2111100L113,2111100L115
2117700E101,2117700E105
2107100C109,2107100C110
2102100C101,2102100C103
2114700D104,2114700D105
2109700A102,2109700E101
2121700C103,2121700D101
2105900A110,2105900B103
2107700B101,2107700B102
2111700C109,2111700C142
2111100C103,2111100C106
2106700C232,2106700C233
2111700A136,2111700A137
2119900A110,2123100G106
2102900C105,2102900C110
2122700D113,2122700E109
2114700D104,2119900E108
2123500C110,2123500C111
2119900A110,2123100D110
2106700C195,2106700C221
2111700A136,2111700B142
2119300A107,2119300A112
