BLOCK,PRECINCT
080010080004006,08001001230
080010080004007,08001001231
080010080004008,08001001231
080010080004009,08001001231
080010080004010,08001001231
080010080004011,08001001231
080010080004012,08001001231
080010080004013,08001001231
080010080004014,08001001231
080010080004015,08001001231
080010080004016,08001001231
080010080004017,08001001231
080010080004018,08001001231
080010080004019,08001001231
080010080004020,08001001231
080010080005000,08001001231
080010080005001,08001001231
080010080005002,08001001230
080010080005003,08001001230
080010080005004,08001001230
080010080005005,08001001230
080010080005006,08001001230
080010080005007,08001001230
080010080005008,08001001230
080010080005009,08001001230
080010080005010,08001001231
080010080005011,08001001231
080010080005012,08001001231
080010080005013,08001001231
080010080005014,08001001230
080010080005015,08001001230
080010080005016,08001001230
080010080005017,08001001230
080010080006000,08001001231
080010080006001,08001001231
080010080006002,08001001230
080010080006003,08001001230
080010080006004,08001001230
080010080006005,08001001230
080010080006006,08001001230
080010080006007,08001001230
080010080006008,08001001230
080010080006009,08001001230
080010080006010,08001001231
080010080006011,08001001231
080010080006012,08001001231
080010080006013,08001001231
080010080006014,08001001230
080010080006015,08001001230
080010080006016,08001001230
080010080006017,08001001230
080010081001000,08001001232
080010081001001,08001001232
080010081001002,08001001232
080010081001003,08001001232
080010081001004,08001001232
080010081001005,08001001232
080010081001006,08001001232
080010081001007,08001001232
080010081001008,08001001232
080010081001009,08001001232
080010081001010,08001001232
080010081001011,08001001232
080010081001012,08001001232
080010081001013,08001001232
080010081001014,08001001232
080010081001015,08001001232
080010081001016,08001001232
080010081001017,08001001232
080010081001018,08001001232
080010081001019,08001001232
080010081001020,08001001232
080010081001021,08001001232
080010081001022,08001001232
080010081001023,08001001232
080010081001024,08001001232
080010081001025,08001001232
080010081001026,08001001232
080010081001027,08001001232
080010081001028,08001001232
080010081001029,08001001232
080010081001030,08001001232
080010081001031,08001001232
080010081001032,08001001232
080010081001033,08001001232
080010081001034,08001001232
080010081001035,08001001232
080010081001036,08001001232
080010081001037,08001001232
080010081001038,08001001232
080010081001039,08001001232
080010081001040,08001001232
080010081001041,08001001232
080010081001042,08001001232
080010081001043,08001001232
080010081001044,08001001232
080010081001045,08001001232
080010081001046,08001001232
080010081001047,08001001232
080010081001048,08001001232
080010081001049,08001001232
080010081001050,08001001232
080010081001051,08001001232
080010082001000,08001001234
080010082001001,08001001234
080010082001002,08001001233
080010082001003,08001001234
080010082001004,08001001234
080010082001005,08001001234
080010082001006,08001001234
080010082001007,08001001234
080010082001008,08001001234
080010082001009,08001001234
080010082001010,08001001234
080010082001011,08001001234
080010082001012,08001001234
080010082001013,08001001234
080010082001014,08001001234
080010082001015,08001001234
080010082001016,08001001234
080010082001017,08001001234
080010082001018,08001001234
080010082001019,08001001234
080010082001020,08001001234
080010082001021,08001001234
080010082001022,08001001234
080010082001023,08001001234
080010082001024,08001001234
080010082001025,08001001234
080010082001026,08001001234
080010082002000,08001001233
080010082002001,08001001233
080010082002002,08001001233
080010082002003,08001001233
080010082002004,08001001233
080010082002005,08001001233
080010082002006,08001001233
080010082002007,08001001233
080010082002008,08001001233
080010082002009,08001001233
080010082002010,08001001233
080010082002011,08001001233
080010082002012,08001001234
080010082002013,08001001233
080010082002014,08001001233
080010082002015,08001001234
080010082002016,08001001234
080010082002017,08001001234
080010082002018,08001001232
080010082002019,08001001233
080010082002020,08001001232
080010082002021,08001001233
080010082002022,08001001233
080010082002023,08001001233
080010082002024,08001001233
080010082002025,08001001234
080010082002026,08001001232
080010082002027,08001001232
080010082003000,08001001233
080010082003001,08001001233
080010082003002,08001001233
080010082003003,08001001233
080010082003004,08001001233
080010082003005,08001001233
080010082003006,08001001233
080010082003007,08001001233
080010082003008,08001001233
