#,MAP,CONTIGUOUS,POPDEV,ENERGY,EDIT_DISTANCE
25,NJ20C_I024K01N12,True,0.001920,297713.971764,0.330018
39,NJ20C_I038K01N12,True,0.004640,297918.832135,0.285684
66,NJ20C_I065K01N12,True,0.002920,298481.267544,0.286172
51,NJ20C_I050K01N12,True,0.001680,298727.249009,0.245898
36,NJ20C_I035K01N12,True,0.002710,299153.291534,0.322790
49,NJ20C_I048K01N12,True,0.004630,299664.606761,0.365864
28,NJ20C_I027K01N12,True,0.002670,301996.407820,0.390165
90,NJ20C_I089K01N12,True,0.001390,303638.479001,0.433272
43,NJ20C_I042K01N12,True,0.002560,304876.264651,0.482631
82,NJ20C_I081K01N12,True,0.006040,305210.913128,0.467368
61,NJ20C_I060K01N12,True,0.001830,321135.273372,0.314025
