BLOCK,PRECINCT
240010008002019,2400104-002
240010008002020,2400104-002
240010008002021,2400104-002
240010008002022,2400104-002
240010008002023,2400104-002
240010008002024,2400104-002
240010008002025,2400104-002
240010008002026,2400104-002
240010008002027,2400104-002
240010008002028,2400104-002
240010008002029,2400104-002
240010008002030,2400104-002
240010010001000,2400105-004
240010010001001,2400105-004
240010010001002,2400105-004
240010010001003,2400105-004
240010010001004,2400105-004
240010010001005,2400105-004
240010010001006,2400105-004
240010010001007,2400105-004
240010010001008,2400105-004
240010010001009,2400105-004
240010010001010,2400105-004
240010010001011,2400105-004
240010010001012,2400105-004
240010010001013,2400105-004
240010010001014,2400105-004
240010010001015,2400105-004
240010010001016,2400105-004
240010010001017,2400105-004
240010010001018,2400105-004
240010010001019,2400114-000
240010010001020,2400114-000
240010010001021,2400114-000
240010010001022,2400105-004
240010010001023,2400105-004
240010010001024,2400105-004
240010010001025,2400105-004
240010010001026,2400105-004
240010010001027,2400105-004
240010010001028,2400105-004
240010010001029,2400105-004
240010010001030,2400105-004
240010010001031,2400105-004
240010010001032,2400105-004
240010010001033,2400105-004
240010010001034,2400105-004
240010010001035,2400105-004
240010010001036,2400105-004
240010010001037,2400105-004
240010010001038,2400105-004
240010010001039,2400105-004
240010010001040,2400105-004
240010010001041,2400123-000
240010010001042,2400123-000
240010010001043,2400123-000
240010010001044,2400123-000
240010010001045,2400123-000
240010010001046,2400123-000
240010010001047,2400123-000
240010010001048,2400123-000
240010010001049,2400123-000
240010010001050,2400105-004
240010010001051,2400105-004
240010010001052,2400105-004
240010010001053,2400123-000
240010010001054,2400123-000
240010010001055,2400123-000
240010010001056,2400105-004
240010010001057,2400114-000
240010010001058,2400114-000
240010010001059,2400114-000
240010010001060,2400123-000
240010010001061,2400123-000
240010010001062,2400114-000
240010010001063,2400123-000
240010010001064,2400123-000
240010010001065,2400123-000
240010010001066,2400123-000
240010010001067,2400123-000
240010010001068,2400114-000
240010010001069,2400114-000
240010010001070,2400114-000
240010010001071,2400114-000
240010010001072,2400105-004
240010010001073,2400123-000
240010010001074,2400123-000
240010010001075,2400123-000
240010010001076,2400123-000
240010010001077,2400123-000
240010010001078,2400114-000
240010010002000,2400114-000
240010010002001,2400114-000
240010010002002,2400114-000
240010010002003,2400114-000
240010010002004,2400114-000
240010010002005,2400114-000
240010010002006,2400114-000
240010010002007,2400114-000
240010010002008,2400114-000
240010010002009,2400114-000
240010010002010,2400114-000
240010010002011,2400114-000
