BLOCK,PRECINCT
340010004001013,34001010601
340010004001014,34001010601
340010004001015,34001010601
340010004001016,34001010601
340010004002000,34001010404
340010004002001,34001010502
340010004002002,34001010501
340010004002003,34001010601
340010004002004,34001010601
340010004002005,34001010601
340010004002006,34001010601
340010004002007,34001010601
340010004002008,34001010601
340010004002009,34001010601
340010004002010,34001010601
340010004003000,34001010404
340010004003001,34001010404
340010004003002,34001010404
340010004003003,34001010404
340010004003004,34001010404
340010004003005,34001010404
340010004003006,34001010404
340010004003007,34001010404
340010004003008,34001010404
340010004003009,34001010404
340010004003010,34001010502
340010004003011,34001010502
340010004003012,34001010502
340010005001000,34001010401
340010005001001,34001010401
340010005001002,34001010502
340010005001003,34001010502
340010005001004,34001010401
340010005001005,34001010401
340010005001006,34001010401
340010005001007,34001010401
340010005002000,34001010401
340010005002001,34001010502
340010005002002,34001010502
340010005002003,34001010502
340010005002004,34001010502
340010005002005,34001010502
340010005002006,34001010502
340010005002007,34001010502
340010005002008,34001010502
340010005002009,34001010401
340010005002010,34001010401
340010005002011,34001010502
340010005002012,34001010502
340010011001000,34001010304
340010011001001,34001010304
340010011001002,34001010304
340010011001003,34001010304
340010011001004,34001010304
340010011001005,34001010304
340010011001006,34001010304
340010011001007,34001010304
340010011001008,34001010304
340010011001009,34001010304
340010011001010,34001010304
340010011002000,34001010304
340010011002001,34001010304
340010011002002,34001010304
340010011002003,34001010304
340010011002004,34001010304
340010011002005,34001010304
340010011002006,34001010304
340010011002007,34001010304
340010011002008,34001010304
340010011002009,34001010304
340010011002010,34001010304
340010011002011,34001010304
340010011002012,34001010304
340010011002013,34001010304
340010011002014,34001010304
340010012001000,34001010202
340010012001001,34001010301
340010012001002,34001010301
340010012001003,34001010301
340010012001004,34001010301
340010012001005,34001010301
340010012001006,34001010301
340010012001007,34001010301
340010012001008,34001010301
340010012001009,34001010301
340010012001010,34001010301
340010012001011,34001010301
340010012001012,34001010301
340010012001013,34001010301
340010012001014,34001010301
340010012001015,34001010301
340010012001016,34001010301
340010012001017,34001010304
340010012001018,34001010304
340010012001019,34001010304
340010012001020,34001010301
340010012001021,34001010301
340010012001022,34001010304
340010012001023,34001010304
340010012001024,34001010304
340010012001025,34001010304
340010012002000,34001010301
340010012002001,34001010301
340010012002002,34001010203
340010012002003,34001010203
340010012002004,34001010301
340010012002005,34001010301
340010012002006,34001010403
340010012002007,34001010403
340010012002008,34001010403
340010012002009,34001010301
340010012002010,34001010301
340010012002011,34001010301
340010012002012,34001010301
340010012002013,34001010301
340010012002014,34001010301
340010012002015,34001010301
340010012002016,34001010301
340010012002017,34001010301
340010012002018,34001010202
340010012002019,34001010301
340010012002020,34001010301
340010012002021,34001010301
340010012002022,34001010301
340010012002023,34001010301
340010012002024,34001010301
340010012002025,34001010301
340010012002026,34001010301
340010012002027,34001010301
340010012002028,34001010403
340010012002029,34001010403
340010012002030,34001010303
340010012002031,34001010403
340010012002032,34001010403
340010012002033,34001010303
340010012002034,34001010303
340010012002035,34001010303
340010012002036,34001010303
340010012002037,34001010303
340010012002038,34001010303
340010012002039,34001010303
340010012002040,34001010303
340010012002041,34001010303
340010012002042,34001010303
340010012002043,34001010303
340010012002044,34001010303
340010012002045,34001010303
340010012003000,34001010301
340010012003001,34001010303
340010012003002,34001010303
340010012003003,34001010303
340010012003004,34001010303
340010012003005,34001010303
340010012003006,34001010303
340010012003007,34001010303
340010012003008,34001010303
340010012003009,34001010303
340010012003010,34001010303
340010012003011,34001010303
340010012003012,34001010403
340010012003013,34001010403
340010012003014,34001010401
340010012003015,34001010301
340010012003016,34001010301
340010012003017,34001010301
340010012003018,34001010301
340010012003019,34001010301
340010012003020,34001010301
340010012003021,34001010303
340010012003022,34001010303
340010012003023,34001010303
340010012003024,34001010303
340010012003025,34001010401
340010012003026,34001010304
340010012003027,34001010304
340010012003028,34001010304
340010012003029,34001010303
340010012003030,34001010303
340010012003031,34001010303
340010012003032,34001010303
340010013001000,34001010301
340010013001001,34001010301
340010013001002,34001010301
340010013001003,34001010301
340010013001004,34001010301
340010013001005,34001010301
340010013001006,34001010301
340010013001007,34001010403
340010013001008,34001010403
340010013001009,34001010403
340010013001010,34001010403
340010013001011,34001010403
340010013001012,34001010403
340010013001013,34001010403
340010013001014,34001010403
340010013001015,34001010403
340010013001016,34001010403
