map,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
I078K01N14,0.005700,0.494300,-0.020300,7,0.500000,7.284300,0.520300,7,-0.026000,-0.031700,-0.043300,-0.040900,-0.010700,-0.040400,-0.011100,-5.317600,-0.017100,-0.017600,0.000500,-0.019100,4.917500,0.351200,4.016300,4.917500,0.351200,-3.551500,0.580100,0.592500,0.000000,5,8.583700,5,0.488900,0.321000,1.314500,2.182000,90,47,50,76,8
I079K01N14,0.012800,0.494300,0.078500,7,0.500000,5.900900,0.421500,7,0.072800,0.067100,0.055900,0.054900,0.012400,0.054400,0.015600,7.280900,0.007600,0.007200,0.000300,0.010900,5.218000,0.372700,3.946400,5.218000,0.372700,13.729500,0.570900,0.583000,0.000000,5,7.630400,5,0.512200,0.344800,1.274000,1.988600,64,50,50,80,14
I080K01N14,0.018600,0.494300,0.020400,7,0.500000,6.714800,0.479600,7,0.014700,0.008900,-0.005800,-0.005400,-0.001200,-0.005600,-0.002100,-0.401000,-0.007100,-0.007100,0.000000,-0.006700,5.817100,0.415500,4.584700,5.817100,0.415500,3.562400,0.560100,0.571600,0.000000,5,7.515300,5,0.466400,0.315600,1.284500,2.092900,93,55,50,70,12
I081K01N14,0.007500,0.494300,0.057500,7,0.500000,6.194700,0.442500,7,0.051800,0.046100,0.032000,0.031700,0.006800,0.031400,0.009200,3.571400,-0.002600,-0.003600,0.001000,0.001500,5.783100,0.413100,4.458200,5.783100,0.413100,10.059700,0.564200,0.577600,0.000000,5,6.825300,5,0.483400,0.318000,1.294200,2.143100,74,55,50,74,10
I082K01N14,0.025700,0.494300,0.012600,7,0.500000,6.823400,0.487400,8,0.006900,0.001200,-0.009600,-0.008900,-0.002400,-0.009000,-0.003500,-0.970200,-0.014400,-0.014300,-0.000200,-0.007800,4.794100,0.342400,3.890600,4.794100,0.342400,2.206200,0.557400,0.589500,0.000000,5,6.775900,5,0.483400,0.336600,1.278900,2.082000,97,46,50,76,12
I083K01N14,0.003800,0.494300,0.058600,7,0.500000,6.180300,0.441400,6,0.052800,0.047100,0.034100,0.033600,0.007500,0.033200,0.009400,4.109000,0.003200,0.002500,0.000700,0.003100,5.649500,0.403500,4.271400,5.649500,0.403500,10.238900,0.577900,0.569600,0.000000,5,7.665400,5,0.485700,0.345100,1.268500,2.072600,74,54,50,78,14
I084K01N14,0.009300,0.494300,0.036300,7,0.500000,6.491400,0.463700,7,0.030600,0.024900,0.014700,0.015400,0.004200,0.015300,0.005700,1.586500,-0.005300,-0.006100,0.000800,-0.002800,4.677200,0.334100,3.787600,4.677200,0.334100,6.352400,0.570600,0.583600,0.753800,5,6.826600,5,0.538400,0.401100,1.265500,2.020100,85,45,58,88,14
I085K01N14,0.009200,0.494300,0.020100,7,0.500000,6.719100,0.479900,6,0.014300,0.008600,-0.011000,-0.010500,-0.002000,-0.010500,-0.003800,-0.795200,0.001900,0.001600,0.000300,-0.007800,7.142700,0.510200,5.440900,7.142700,0.510200,3.509100,0.562200,0.557100,0.000000,5,8.290700,5,0.439000,0.309600,1.277700,2.101700,93,68,50,64,13
I086K01N14,0.004900,0.494300,0.028700,7,0.500000,6.598900,0.471300,7,0.022900,0.017200,0.007400,0.007200,0.001900,0.006800,0.003400,0.533800,0.004300,0.003800,0.000500,-0.005000,4.581100,0.327200,3.712400,4.581100,0.327200,5.010500,0.565400,0.577800,0.000000,5,7.475200,5,0.535400,0.355500,1.300300,2.064600,89,44,50,82,10
I087K01N14,0.020700,0.494300,0.022100,7,0.500000,6.690800,0.477900,7,0.016400,0.010600,-0.000100,0.000400,0.000100,0.000200,0.001400,-0.291700,-0.007900,-0.008600,0.000700,-0.007000,4.797300,0.342700,3.888200,4.797300,0.342700,3.862400,0.564300,0.577000,0.000000,5,6.664100,5,0.537400,0.344600,1.290500,2.070500,92,46,50,80,11
I088K01N14,0.010400,0.494300,0.048000,7,0.500000,6.327700,0.452000,7,0.042300,0.036600,0.019500,0.019600,0.003900,0.019400,0.006100,2.151000,-0.005500,-0.005900,0.000500,-0.001300,6.462800,0.461600,4.993000,6.462800,0.461600,8.397600,0.558700,0.571100,0.000000,5,7.532100,5,0.487400,0.353300,1.259500,1.986800,79,62,50,79,16
I089K01N14,0.007800,0.494300,0.029900,7,0.500000,6.581200,0.470100,6,0.024200,0.018500,0.001500,0.001600,0.000300,0.001400,0.003200,0.187200,-0.001800,-0.002300,0.000500,-0.005800,6.493400,0.463800,4.963800,6.493400,0.463800,5.231500,0.564400,0.559200,0.000000,5,8.129500,5,0.475700,0.325100,1.274600,2.078800,88,62,50,73,14
I090K01N14,0.015200,0.494300,0.037800,7,0.500000,6.470300,0.462200,6,0.032100,0.026400,0.014600,0.013700,0.003100,0.013100,0.005100,1.633000,0.011300,0.011300,0.000100,-0.002000,5.246500,0.374700,4.055800,5.246500,0.374700,6.617100,0.574900,0.566300,0.000000,5,7.581400,5,0.485900,0.315500,1.284700,2.108000,84,50,50,74,12
I091K01N14,0.009000,0.494300,0.020200,7,0.500000,6.716900,0.479800,8,0.014500,0.008800,-0.005500,-0.004500,-0.001000,-0.004400,-0.001100,-0.716100,-0.009100,-0.010200,0.001100,-0.008500,5.829400,0.416400,4.496400,5.829400,0.416400,3.535800,0.554400,0.588400,0.000000,5,6.895400,5,0.493200,0.338500,1.290900,2.089000,93,56,50,78,11
I092K01N14,0.006900,0.494300,0.045800,7,0.500000,6.358900,0.454200,7,0.040100,0.034400,0.025300,0.024600,0.006300,0.024100,0.006700,3.004800,0.005500,0.005300,0.000200,0.001100,4.624300,0.330300,3.575100,4.624300,0.330300,8.007800,0.570100,0.581900,0.000000,5,8.422400,5,0.489300,0.344200,1.269400,2.055600,80,44,50,78,14
I093K01N14,0.025100,0.494300,0.076500,7,0.500000,5.929200,0.423500,6,0.070800,0.065000,0.050900,0.050200,0.010400,0.049800,0.014800,6.045600,0.011500,0.010400,0.001200,0.007000,5.767600,0.412000,4.468000,5.767600,0.412000,13.375300,0.578500,0.571000,0.000000,5,7.424600,5,0.502800,0.336000,1.297000,2.107500,65,55,50,80,10
I094K01N14,0.026700,0.494300,0.056300,7,0.500000,6.211400,0.443700,7,0.050600,0.044900,0.031300,0.031400,0.007000,0.031100,0.009900,3.543100,0.000500,-0.000200,0.000700,0.001800,5.541200,0.395800,4.376900,5.541200,0.395800,9.850800,0.564900,0.577800,0.000000,5,6.807000,5,0.527600,0.394200,1.280300,2.021900,75,53,50,87,12
I095K01N14,0.007700,0.494300,0.062000,7,0.500000,6.132000,0.438000,7,0.056300,0.050600,0.044600,0.044100,0.012900,0.043600,0.011900,5.531200,0.016000,0.014800,0.001200,0.006300,3.871300,0.276500,3.039800,3.871300,0.276500,10.842300,0.578200,0.592000,0.000000,5,7.651100,5,0.505300,0.350000,1.293300,2.116700,72,37,50,82,10
I096K01N14,0.011300,0.494300,0.050500,7,0.500000,6.293200,0.449500,6,0.044800,0.039000,0.022000,0.022200,0.004400,0.022000,0.007800,2.294100,-0.002300,-0.003400,0.001100,-0.001600,6.493000,0.463800,4.980300,6.493000,0.463800,8.828700,0.569500,0.564100,0.000000,5,8.405100,5,0.471200,0.313300,1.297300,2.122700,78,62,50,70,10
I097K01N14,0.005800,0.494300,0.040800,7,0.500000,6.428500,0.459200,8,0.035100,0.029400,0.016200,0.016600,0.003900,0.016500,0.006000,2.036200,-0.008600,-0.009000,0.000400,-0.001400,5.517200,0.394100,4.305700,5.517200,0.394100,7.138200,0.557600,0.591000,0.000000,5,7.709800,5,0.442200,0.316600,1.270800,2.064700,82,53,50,66,14
I098K01N14,0.010800,0.494300,0.053700,7,0.500000,6.248900,0.446300,6,0.047900,0.042200,0.031400,0.029600,0.006600,0.028800,0.007900,3.360200,0.016400,0.016100,0.000300,0.001700,5.134500,0.366800,3.885300,5.134500,0.366800,9.382500,0.574900,0.566700,0.000000,5,8.133000,5,0.517000,0.364300,1.296600,2.092600,76,49,50,83,10
I099K01N14,0.007700,0.494300,0.038000,7,0.500000,6.468100,0.462000,7,0.032300,0.026600,0.010300,0.010700,0.002200,0.010500,0.005100,0.813000,-0.002900,-0.004500,0.001500,-0.005400,6.180900,0.441500,4.840900,6.180900,0.441500,6.644400,0.559700,0.574200,0.700000,5,8.342200,5,0.502000,0.350100,1.273300,2.047200,84,59,57,82,14
