map,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
I053K01N14,0.006800,0.494300,0.035700,7,0.500000,6.500900,0.464300,7,0.029900,0.024200,0.014800,0.014400,0.003800,0.014000,0.004700,1.579200,0.003300,0.003000,0.000300,-0.002400,4.608200,0.329200,3.644300,4.608200,0.329200,6.234600,0.568300,0.580400,0.000000,5,8.367700,5,0.478400,0.354400,1.265200,2.052100,85,44,50,78,14
I054K01N14,0.011300,0.494300,0.079100,7,0.500000,5.893200,0.420900,6,0.073300,0.067600,0.058400,0.057800,0.014200,0.057200,0.016900,7.050600,0.025000,0.023300,0.001600,0.009100,4.464000,0.318900,3.610000,4.464000,0.318900,13.825300,0.585600,0.577100,0.000000,5,7.643100,5,0.525600,0.367200,1.294500,2.068700,63,43,50,84,10
I055K01N14,0.007100,0.494300,0.048800,7,0.500000,6.316300,0.451200,6,0.043100,0.037400,0.028000,0.027200,0.006800,0.026600,0.006000,2.968800,0.009100,0.008300,0.000800,0.000300,4.657700,0.332700,3.646200,4.657700,0.332700,8.540500,0.579700,0.571300,0.000000,5,8.575400,5,0.485500,0.372600,1.231600,1.979200,78,44,50,81,20
I056K01N14,0.007600,0.494300,0.064500,7,0.500000,6.096900,0.435500,6,0.058800,0.053100,0.044700,0.042600,0.010000,0.041700,0.010000,4.949300,0.027200,0.026600,0.000600,0.005200,4.477600,0.319800,3.464500,4.477600,0.319800,11.280100,0.580100,0.571100,0.000000,5,7.620900,5,0.466300,0.314900,1.288300,2.098500,71,43,50,70,12
I057K01N14,0.013100,0.494300,0.013500,7,0.500000,6.811100,0.486500,8,0.007800,0.002100,-0.013000,-0.011600,-0.002700,-0.011400,-0.002500,-1.335400,-0.010600,-0.011400,0.000700,-0.009500,5.976100,0.426900,4.632400,5.976100,0.426900,2.360100,0.553400,0.586200,0.000000,5,6.858400,5,0.483400,0.324600,1.311600,2.158900,96,57,50,74,8
I058K01N14,0.015500,0.494300,0.058600,7,0.500000,6.179800,0.441400,6,0.052900,0.047200,0.038900,0.038300,0.010200,0.037900,0.010800,5.088800,0.005300,0.004500,0.000800,0.005600,4.518400,0.322700,3.434500,4.518400,0.322700,10.245600,0.589300,0.578400,0.000000,5,7.791900,5,0.498500,0.331600,1.297000,2.132800,74,43,50,78,10
I059K01N14,0.010500,0.494300,0.011600,7,0.500000,6.837100,0.488400,8,0.005900,0.000200,-0.008800,-0.008000,-0.002300,-0.008000,-0.002900,-1.082800,-0.008600,-0.009000,0.000400,-0.008600,4.442500,0.317300,3.581900,4.442500,0.317300,2.035200,0.564800,0.600600,0.000000,5,7.557700,5,0.518800,0.321400,1.295100,2.086400,97,42,50,78,10
I060K01N14,0.012600,0.494300,0.034700,7,0.500000,6.514300,0.465300,7,0.029000,0.023300,0.014000,0.014300,0.003900,0.014100,0.004700,1.724500,-0.007100,-0.007300,0.000200,-0.001800,4.606200,0.329000,3.610200,4.606200,0.329000,6.067000,0.570600,0.582400,0.728400,5,7.557800,5,0.509300,0.359700,1.258500,2.003000,86,44,58,82,16
I061K01N14,0.012000,0.494300,0.069700,7,0.500000,6.024700,0.430300,5,0.063900,0.058200,0.048500,0.047900,0.011800,0.047400,0.013800,6.150400,0.005300,0.004500,0.000700,0.008000,4.810200,0.343600,3.695100,4.810200,0.343600,12.182800,0.601400,0.566400,0.000000,5,7.661100,5,0.515100,0.329900,1.275200,2.089600,68,46,50,78,13
I062K01N14,0.006600,0.494300,0.042100,7,0.500000,6.411000,0.457900,6,0.036400,0.030600,0.023800,0.023000,0.006600,0.022600,0.006900,3.448400,0.006700,0.005900,0.000800,0.001900,4.140200,0.295700,3.193400,4.140200,0.295700,7.357600,0.600700,0.586800,0.000000,5,6.824600,5,0.482700,0.292500,1.317300,2.152500,82,39,50,70,7
I063K01N14,0.010500,0.494300,0.080200,7,0.500000,5.876900,0.419800,6,0.074500,0.068800,0.060300,0.059600,0.014900,0.059000,0.017100,7.258300,0.029400,0.027700,0.001700,0.009600,4.268100,0.304900,3.492000,4.268100,0.304900,14.028300,0.587200,0.578400,0.000000,5,8.429200,5,0.523600,0.338600,1.291100,2.040300,63,41,50,80,11
I064K01N14,0.008200,0.494300,0.058300,7,0.500000,6.183900,0.441700,6,0.052600,0.046900,0.032600,0.032000,0.006700,0.031600,0.009300,4.230500,0.001200,0.001400,-0.000200,0.004200,6.008800,0.429200,4.493600,6.008800,0.429200,10.193300,0.576100,0.566700,0.000000,5,7.496000,5,0.481900,0.333900,1.271600,2.025400,74,57,50,76,14
I065K01N14,0.011600,0.494300,0.037500,7,0.500000,6.474900,0.462500,8,0.031800,0.026100,0.012400,0.012600,0.002900,0.012400,0.004100,1.599500,-0.014100,-0.014300,0.000100,-0.002200,5.696900,0.406900,4.395000,5.696900,0.406900,6.558500,0.555700,0.588000,0.000000,5,7.528800,5,0.504900,0.349800,1.268700,2.007100,84,54,50,81,14
I066K01N14,0.009600,0.494300,0.074800,7,0.500000,5.952600,0.425200,6,0.069100,0.063400,0.048800,0.048300,0.009900,0.047800,0.013600,5.469200,0.014100,0.012900,0.001200,0.005600,5.816800,0.415500,4.541800,5.816800,0.415500,13.083200,0.575600,0.568800,0.000000,5,7.399300,5,0.503500,0.323600,1.285500,2.048300,65,55,50,78,12
I067K01N14,0.009500,0.494300,0.031300,7,0.500000,6.561800,0.468700,8,0.025600,0.019900,0.008000,0.008600,0.002100,0.008400,0.003800,1.054700,-0.013400,-0.013600,0.000200,-0.003400,5.184000,0.370300,4.065900,5.184000,0.370300,5.473100,0.558200,0.591300,0.000000,5,7.412100,5,0.498100,0.360000,1.263000,2.026900,87,49,50,82,15
